"Ramo              ";"Razao             ";"Endereco          ";"Bairro            ";"CEP               ";"Cidade            ";"UF                ";"Contato           ";"Funcionarios      ";"Telefone          ";"Fax               ";"Site              ";"E-mail            ";"Produtos          "
"MECANICA ";" POLIFRIO DO NORDESTE LTDA. ";" Av. Assedirpe, Lote 10 - Qd. 1 - S/nº ";" ";" 53417-690 ";" Abreu e Lima ";" PE ";" ";48;" (0xx81) 3542-1377/3341-3766 ";" (0xx81) 3462-2406 ";" www.polifrio.com.br ";" polifrio@polifrio.com.br ";" Isolamento Térmico; portas frigoríf.; equips. p/ instalaçãode frigoríficos; "
"METALURGICA ";" BOMBRIL NORDESTES S/A- IND. E COM. ";" BR 101- km 52 ";" Área Indl. ";" 53510-070 ";" Abreu e Lima ";" PE ";" Dir. Coml.: Ivo Ricardo ";1850;" (0xx81) 542-1455 ";" (0xx81) 542-1806 ";" www.bombril.com.br ";" fale@bombril.com.br ";" Fabricação de lã de aço e distr de todos os produtos da Bombril. "
"METALURGICA ";" INDS. REUNIDAS RENDA S/A. ";" Rod. BR 101 - Norte - Km 53 - S/nº ";" ";" 53450-000 ";" Abreu e Lima ";" PE ";" ";340;" (0xx81) 3542-3301/2286/3538-8000 ";" (0xx81) 3542-2203 ";" www.renda.com.br ";" rendacom@renda.com.br ";" Rolhas metálicas; latas; embalagens metálicas; "
"PLASTICOS ";" FIBRASA NORDESTE S/A. ";" Rodovia BR 101 - Km. 52 ";" Dist. Indl. ";" 53520-015 ";" Abreu e Lima ";" PE ";" ";" ";" (0xx81) 3437-8642/8643 ";" (0xx81) 3437-8641 ";" www.fibrasa.com.br ";" comercial.ne@fibrasa.com.br ";" Baldes industriais; embalagens de polipropileno; "
"COURO ";" CURTIDORA AGUAÍ LTDA. ";" Av. Sandoval Azevedo, s/nº ";" Vl. Braga ";" 13860-000 ";" Aguaí ";" SP ";" Dir. Coml.: Otacílio Leite de Camargo Jr. ";20;" (0xx19) 3652-2811 ";" (0xx19) 3652-2122 ";"  ";"  ";" Vaquetas, raspas p/ indústria de calçados, bolsas, cintos. "
"ELETRO ELETRONICA ";" ISOTRON LTDA. ";" R. João Vicentini, 190 ";" Dist. Indl. II ";" 83504-447 ";" Almirante Tamandaré ";" PR ";" ";" ";" (0xx41) 657-8585 ";" (0xx41) 657-8383 ";" www.isotron.com.br ";" isotron@isotron.com.br ";" Soldas; botoeiras; sensores; automação indl. equips. de solda; "
"CONSTRUCAO CIVIL ";" CREMART DURLIN S/A. ";" Rod. dos Minérios - Km 16 ";" Pacotuba ";" 83512-000 ";" Almirante Tamandaré ";" PR ";" Dir. Coml.: Aldovar Pereira Marchand ";" ";" (0xx41) 757-2121 ";" (0xx41) 757-1639 ";" www.durlin.com.br ";" durlin@durlin.com.br ";" Tinta em pó para pintura de parede. "
"QUIMICA E FARMACEUTICA ";" AMARAJI AGROINDUSTRIAL LTDA. ";" Faz. Montevidéu, s/n ";" Engenho Estiva ";" 55515-000 ";" Amaraji ";" PE ";" Dir. Coml.: Clovis Meneses de Mello Junior ";100;" (0xx81) 553-1159 ";" (0xx81) 553-1138 ";"  ";"  ";" Álcool. "
"MECANICA ";" J.A.C - IND. METALÚRGICA LTDA. ";" R. dos Funileiros, 203 ";" Dist. Indl. Werner P ";" 13478-732 ";" Americana ";" SP ";" ";" ";" (0xx19) 3468-1575 ";" (0xx19) 3468-2429 ";" www.jac.com.br ";" vendas@jac.com.br ";" Sopradoras p/ termoplásticos; extrusoras p/ monofilamentos; "
"MECANICA ";" MILANO EQUIPS. HIDRÁULICOS LTDA. ";" Av. Angelo Pascoti, 325 ";" Distr. Indl. ";" 13478-800 ";" Americana ";" SP ";" Sócio Ger.: Jucemar Badem ";" ";" (0xx19) 3478-2520 ";" (0xx19) 3478-2515 ";" www.milano.ind.br ";" milano@milano.ind.br ";" Conexões e tubos hidráulicos; "
"METALURGICA ";" JAC IND. METALÚRGICA LTDA. ";" R. dos Funileiros, 203 ";" ";" 13478-732 ";" Americana ";" SP ";" ";" ";" (0xx19) 3468-1575 ";" (0xx19) 3468-2429 ";" www.jac.com.br ";" jac@jac.com.br ";" Equipamentos p/ ind. plástica; "
"METALURGICA ";" KSB BOMBAS HIDRÁULICAS S/A. ";" Rod. Luis de Queiroz, Km 125,5 ";" Jd. Alvorada ";" 13470-000 ";" Americana ";" SP ";" Dir. Pres.: Carmelo Fernandes Moldes ";460;" (0xx19) 3461-3789 ";" (0xx19) 3461-3839 ";" www.ksbbombas.com.br ";"  ";" Bombas hidráulicas. "
"METALURGICA ";" METALÚRGICA NOVA AMERICANA S/A. ";" R. Dom Pedro II, 1.432 ";" Nova Americana ";" 13460-970 ";" Americana ";" SP ";" Dir. Coml.: João Camargo ";130;" (0xx19) 3471-2890 ";" (0xx19) 3471-2891 ";" www.mna.com.br ";" mna@mna.com.br ";" Válvulas Industriais tipo: Esfera, gaveta, globo, macho e retenção, atuadores pneumáticos; "
"METALURGICA ";" POLACCHINI METALÚRGICA LTDA. ";" R. Josué Mastrodi, 305 ";" Jd. Campo Belo ";" 13477-841 ";" Americana ";" SP ";" Dir. Coml.: Vicente Paulo Polaquini ";" ";" (0xx19) 3467-1168/1355/2032/3732 ";" (0xx19) 3467-1168 ";" www.polacchini.com.br ";" polacchini@polacchini.com.br ";" Morsas de precisão; mesa divisora; centralizador de aresta; "
"METALURGICA ";" WOLDMACK IND. E COM. IMP. EXP. LTDA. ";" R. do Tecelão, 390 ";" ";" 13478-721 ";" Americana ";" SP ";" Dirª Coml.: Regina Zuckerman ";" ";" (0xx19) 3468-3293 ";" (0xx19) 3468-3293 ";" www.woldmack.com.br ";" woldmack@woldmack.com.br ";" KS-82; KS-200; KS-200A; retilínea marca nuwang; "
"ELETRO ELETRONICA ";" BANDEIRANTES PRODS. ELETRO METALÚRGICOS LTDA. ";" R. Profº Ignácio Dias Leme, 216/220 ";" ";" 13472-500 ";" Americana ";" SP ";" ";" ";" (0xx19) 3478-6067/5668/5654 ";" (0xx19) 3478-5668 ";" www.bandeirantesperfis.com.br ";" bandperfis@uol.com.br ";" Eletrocalhas; perfilados; leitos p/ cabos; dutos de pisos; rodapes eseus acessórios; "
"QUIMICA E FARMACEUTICA ";" BARLOCHER DO BRASIL S/A. ";" Av. São Gerônimo, 6.000 ";" S. Gerônimo ";" 13470-310 ";" Americana ";" SP ";" Dir. Coml.: Ruan Carlos ";50;" (0xx19) 3471-4000/4066/3405-5151 ";" (0xx19) 3405-5550/3460-8703 ";" www.barlocher.com.br ";" barlocher@barlocher.com.br ";" Ácidos esteáricos; estabilizantes térmicos p/ PVC; estearatolubrificantes p/ termoplásticos; "
